subject,correct_bin,game,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
109,1,2,1.3306050410028547,6.0,0.0,3,2
109,1,2,4.126011374988593,3.0,-9.0,3,1
109,0,2,1.391632333048619,6.0,0.0,3,2
109,1,2,10.768247750005685,-4.0,-10.0,3,2
109,1,2,0.3089468749240041,6.0,8.0,3,2
109,1,2,15.20643875002861,13.0,9.0,3,1
109,1,3,2.6728482090402395,-7.0,6.0,3,2
109,1,3,0.1660030410857871,-4.0,-9.0,3,2
109,1,3,3.3058002500329167,-4.0,-6.0,3,1
109,0,3,1.5340486660134047,-7.0,6.0,3,2
109,0,3,3.256572625017725,-7.0,9.0,3,1
109,1,3,2.286362042068504,-4.0,-6.0,3,1
109,1,3,8.707925750059076,-12.0,-6.0,3,1
109,0,3,4.014337333035655,1.0,6.0,3,2
109,1,4,3.5301697910763323,-1.0,4.0,5,2
109,0,4,2.7104084589518607,-2.0,12.0,5,2
109,1,4,4.1409542500041425,1.0,7.0,5,3
109,0,4,0.0179334999993443,3.0,6.0,5,2
109,1,4,0.3434490420622751,2.0,-1.0,5,3
109,0,4,2.275025915936567,-2.0,1.0,5,3
109,0,4,1.4896751249907538,-3.0,5.0,5,3
109,1,4,0.8805339999962598,2.0,10.0,5,2
109,1,5,0.6747856249567121,1.0,8.0,4,2
109,1,5,0.1513369169551879,2.0,5.0,4,1
109,1,5,0.4692030829610303,2.0,0.0,4,2
109,1,5,0.4077202079351991,-2.0,3.0,4,3
109,1,5,0.8624604580691084,1.0,0.0,4,2
109,1,5,0.5665574579034001,-1.0,0.0,4,2
109,1,5,0.3663386659463867,-2.0,8.0,4,2
109,1,5,3.1291765000205487,-1.0,8.0,4,2
109,0,6,1.2017694159876555,2.0,3.0,6,3
109,1,6,1.017474666936323,-4.0,-1.0,6,3
109,0,6,0.409394041984342,-4.0,-1.0,6,3
109,1,6,0.3563914579572156,2.0,2.0,6,3
109,1,6,0.976593790925108,-3.0,0.0,6,3
109,1,6,0.3392713749781251,-4.0,0.0,6,3
109,1,6,0.3961351249599829,1.0,2.0,6,3
109,1,6,0.4683501250110566,2.0,3.0,6,3
109,0,7,1.50978279102128,1.0,-2.0,6,3
109,1,7,0.3709533750079572,3.0,8.0,6,3
109,0,7,1.2297452091006562,-2.0,-5.0,6,3
109,1,7,0.6727514170343056,3.0,8.0,6,3
109,1,7,1.5363200419815255,6.0,11.0,6,3
109,1,7,0.8200126660522074,3.0,0.0,6,3
109,1,7,2.8994827090064064,1.0,6.0,6,3
109,0,7,0.7675502080237493,1.0,-2.0,6,3
110,0,1,19.697509375051595,-1.0,-3.0,6,3
110,1,1,11.338163750013337,-4.0,-3.0,6,3
110,1,1,11.399151834077202,2.0,3.0,6,3
110,1,1,12.0012861660216,4.0,2.0,6,3
110,0,1,26.274777084006928,1.0,2.0,6,3
110,1,1,6.892309791990556,2.0,3.0,6,3
110,1,1,4.820441082934849,-2.0,-4.0,6,3
110,0,1,7.6413620410021394,-2.0,-4.0,6,3
110,1,2,25.51758929202333,-4.0,-4.0,5,3
110,1,2,26.962792541016825,-3.0,-3.0,5,3
110,1,2,32.623763040988706,-3.0,-12.0,5,2
110,1,2,60.9457821669057,-3.0,-12.0,5,2
110,0,2,9.863657708046958,-4.0,-13.0,5,2
110,0,2,16.475982166011818,1.0,-8.0,5,2
110,0,2,10.2971047910396,-4.0,-4.0,5,3
110,0,2,6.189586499938741,-8.0,-8.0,5,3
110,1,3,11.098587457905523,8.0,-19.0,5,3
110,1,3,3.3601507919374853,5.0,-18.0,5,2
110,0,3,44.09479374997318,7.0,-18.0,5,3
110,1,3,1.911240249988623,15.0,-9.0,5,2
110,1,3,10.21736474998761,4.0,-17.0,5,2
110,0,3,10.532125167082995,5.0,-18.0,5,2
110,1,3,23.828971832990646,7.0,-18.0,5,3
110,1,3,3.2699362080311403,-3.0,-27.0,5,3
110,1,4,33.47600424999837,2.0,2.0,6,3
110,1,4,8.484020375064574,-4.0,-5.0,6,3
110,1,4,8.195469291997142,3.0,2.0,6,3
110,1,4,7.982579417061061,-5.0,-5.0,6,3
110,1,4,3.891333166975528,3.0,2.0,6,3
110,1,4,17.077876582974568,3.0,2.0,6,3
110,1,4,5.784241124987602,-5.0,-5.0,6,3
110,1,4,17.813648834009655,-5.0,-5.0,6,3
110,1,5,23.9832946669776,-2.0,-1.0,4,2
110,0,5,15.55716870899778,-2.0,5.0,4,2
110,0,5,25.236593500012532,-6.0,9.0,4,2
110,0,5,2.18437279202044,-2.0,5.0,4,2
110,1,5,0.3854997089365497,-2.0,-1.0,4,2
110,1,5,1.1828185840277,-6.0,0.0,4,3
110,0,5,2.189051458030008,2.0,-5.0,4,2
110,1,5,13.434347625006922,2.0,4.0,4,1
110,0,6,25.423263040953316,-1.0,1.0,5,3
110,1,6,5.700971250073053,5.0,5.0,5,3
110,1,6,9.0868267089827,9.0,11.0,5,2
110,1,6,11.637963874964043,5.0,5.0,5,3
110,1,6,5.572189374943264,3.0,7.0,5,2
110,1,6,12.688425624975936,3.0,7.0,5,2
110,1,6,3.4761131670093164,2.0,6.0,5,2
110,1,6,9.700936458073556,6.0,6.0,5,3
110,1,7,9.2245595830027,1.0,14.0,5,3
110,1,7,5.484991000033915,4.0,5.0,5,3
110,1,7,5.118776416988112,4.0,13.0,5,2
110,0,7,14.684405457926914,1.0,14.0,5,3
110,0,7,10.636579625075685,2.0,0.0,5,2
110,0,7,6.025330916978419,-1.0,9.0,5,2
