subject_id,fixation_position,prop_relevant,group
H146,17,0.5862068965517241,human
H146,18,0.5357142857142857,human
H146,19,0.5,human
H146,20,0.52,human
H146,21,0.5,human
H146,22,0.5416666666666666,human
H146,23,0.6666666666666666,human
H146,24,0.5833333333333334,human
H146,25,0.5454545454545454,human
H146,26,0.6363636363636364,human
H146,27,0.5909090909090909,human
H146,28,0.5238095238095238,human
H146,29,0.5789473684210527,human
H146,30,0.5789473684210527,human
H146,31,0.4444444444444444,human
H146,32,0.5882352941176471,human
H146,33,0.5294117647058824,human
H146,34,0.4375,human
H146,35,0.625,human
H146,36,0.4666666666666667,human
H146,37,0.5333333333333333,human
H146,38,0.5333333333333333,human
H146,39,0.7692307692307693,human
