thisRow.t,notes,phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
,,choice,option,187.0123304167064,188.03615604166407,39,5,,,,,,,,,Small,,,,
,,choice,choice,188.036253958242,190.22476275009103,39,5,,,1,0,1.1811800415161997,,,,Small,,,,
,,choice,fixation,190.2248760833172,191.48186383326538,40,5,,,,,,,,,Land,,,,
,,choice,option,191.48748987505678,192.51371425006073,40,5,,,,,,,,,Land,,,,
,,choice,choice,192.5138222082751,196.70437616668642,40,5,,,1,0,3.182679875055328,,,,Land,,,,
,,memory,free_recall,213.98882733331993,230.421523166704,24,5,,,,,,,,,,,,,
,,memory,value_recall,237.57051937503275,243.72570216667373,25,5,Object_Land_Solid_Large,,,,6.153134916559793,,,,,3,,,
,,memory,value_recall,245.7669776250841,247.04702570824884,26,5,Object_Land_Pattern_Large,,,,1.276449833298102,,,,,1,,,
,,memory,value_recall,248.58635408326518,249.95582258328795,27,5,Animal_Land_Pattern_Large,,,,1.3659733750391752,,,,,-7,,,
,,memory,value_recall,250.98600708332378,253.0536199582275,28,5,Animal_Sea_Solid_Small,,,,2.0656419582664967,,,,,9,,,
,,memory,value_recall,254.59441137500107,258.05316966667306,29,5,Object_Sea_Solid_Small,,,,3.4554172083735466,,,,,-9,,,
,,memory,value_recall,259.84272291662637,261.5832266249927,30,5,Animal_Sea_Pattern_Small,,,,1.736755458288826,,,,,-9,,,
,,memory,spatial_recall,267.52428516664077,269.8821465416113,30,5,Animal_Sea_Pattern_Small,,,1,2.354403291712515,,,,,,"[0, -380]","[0, -380]",
,,memory,spatial_recall,271.4567380832741,273.1700895000249,30,5,Object_Land_Solid_Large,,,1,1.7098885416053236,,,,,,"[329, -190]","[329, -190]",
,,memory,spatial_recall,274.4955454582814,276.3683122500079,30,5,Object_Land_Pattern_Large,,,1,1.8693119999952614,,,,,,"[0, 380]","[0, 380]",
,,memory,spatial_recall,278.1937443750212,280.1138074999908,30,5,Animal_Sea_Solid_Small,,,1,1.9165604583686218,,,,,,"[329, 189]","[329, 189]",
,,memory,spatial_recall,281.19038545829244,282.36532554170117,30,5,Object_Sea_Solid_Small,,,1,1.1729892917210236,,,,,,"[-329, -190]","[-329, -190]",
,,memory,spatial_recall,283.9314969582483,286.29750099999364,30,5,Animal_Land_Pattern_Large,,,1,2.362369208363816,,,,,,"[-329, 190]","[-329, 190]",
,,encoding,fixation,6.133018749998882,7.136655208305456,31,6,Object_Sea_Pattern_Small,6,,,,,,,,,,,
,,encoding,image,7.136765916715376,8.148035833379254,31,6,Object_Sea_Pattern_Small,6,,,,,,,,,,,
,,encoding,value,8.148168041720055,14.157787999953143,31,6,Object_Sea_Pattern_Small,6,,,,,,,,,,,
,,encoding,attention,14.157933624926955,17.16819020838011,31,6,Object_Sea_Pattern_Small,6,None,None,None,,,,,,,,
,,encoding,fixation,17.168308041756973,18.4218255833257,32,6,Object_Sea_Pattern_Large,1,,,,,,,,,,,
,,encoding,image,18.421948791714385,19.432244791765697,32,6,Object_Sea_Pattern_Large,1,,,,,,,,,,,
,,encoding,value,19.43235308327712,25.441566166700795,32,6,Object_Sea_Pattern_Large,1,,,,,,,,,,,
,,encoding,attention,25.441716958303005,28.45580804173369,32,6,Object_Sea_Pattern_Large,1,+1,1,1.4556429166113958,,,,,,,,
,,encoding,fixation,28.4559547083918,29.20951224991586,33,6,Animal_Land_Pattern_Large,-9,,,,,,,,,,,
,,encoding,image,29.209629916702397,30.218265916686505,33,6,Animal_Land_Pattern_Large,-9,,,,,,,,,,,
,,encoding,value,30.218361083301716,36.227081083343364,33,6,Animal_Land_Pattern_Large,-9,,,,,,,,,,,
,,encoding,attention,36.22718562500086,39.24002912500873,33,6,Animal_Land_Pattern_Large,-9,+9,0,0.1287507499800995,,,,,,,,
,,encoding,fixation,39.240237874910235,39.99484604166355,34,6,Animal_Land_Solid_Small,7,,,,,,,,,,,
,,encoding,image,39.9949931249721,41.003568749991246,34,6,Animal_Land_Solid_Small,7,,,,,,,,,,,
,,encoding,value,41.00369074998889,47.01584562496282,34,6,Animal_Land_Solid_Small,7,,,,,,,,,,,
,,encoding,attention,47.01600887498353,50.02927379170433,34,6,Animal_Land_Solid_Small,7,+7,1,1.8910832916153595,,,,,,,,
,,encoding,fixation,50.02941804169677,50.782906666747294,35,6,Animal_Land_Solid_Large,6,,,,,,,,,,,
,,encoding,image,50.783010583370924,51.79176062496845,35,6,Animal_Land_Solid_Large,6,,,,,,,,,,,
,,encoding,value,51.791855291696265,57.800817291717976,35,6,Animal_Land_Solid_Large,6,,,,,,,,,,,
,,encoding,attention,57.80092904169578,60.81501758331433,35,6,Animal_Land_Solid_Large,6,+6,1,1.0192449582973495,,,,,,,,
,,encoding,fixation,60.81515112495981,61.318755333311856,36,6,Object_Sea_Solid_Small,-8,,,,,,,,,,,
,,encoding,image,61.31886004167609,62.326785666751675,36,6,Object_Sea_Solid_Small,-8,,,,,,,,,,,
,,encoding,value,62.326889833319,68.33574016671628,36,6,Object_Sea_Solid_Small,-8,,,,,,,,,,,
,,encoding,attention,68.33584324992262,71.34907529165503,36,6,Object_Sea_Solid_Small,-8,-8,1,0.9545645832549781,,,,,,,,
,,n-back,,,,151,6,,,,0,None,Z,True,None,,,,,
,,n-back,,,,152,6,,,,1,None,X,False,None,,,,,
,,n-back,,,,153,6,,,,1,None,B,False,None,,,,,
,,n-back,,,,154,6,,,,1,None,Z,False,None,,,,,
,,n-back,,,,155,6,,,,1,None,Z,False,None,,,,,
,,n-back,,,,156,6,,,,0,0.5521946666995063,B,False,1,,,,,
,,n-back,,,,157,6,,,,1,None,V,False,None,,,,,
,,n-back,,,,158,6,,,,0,None,B,True,None,,,,,
,,n-back,,,,159,6,,,,1,None,Z,False,None,,,,,
,,n-back,,,,160,6,,,,0,None,B,True,None,,,,,
,,n-back,,,,161,6,,,,1,None,X,False,None,,,,,
,,n-back,,,,162,6,,,,0,None,B,True,None,,,,,
,,n-back,,,,163,6,,,,1,None,Z,False,None,,,,,
,,n-back,,,,164,6,,,,1,1.0833911249646917,B,True,1,,,,,
,,n-back,,,,165,6,,,,1,None,N,False,None,,,,,
,,n-back,,,,166,6,,,,1,None,Z,False,None,,,,,
,,n-back,,,,167,6,,,,1,0.8505498333834112,N,True,1,,,,,
,,n-back,,,,168,6,,,,1,None,C,False,None,,,,,
,,n-back,,,,169,6,,,,1,None,X,False,None,,,,,
,,n-back,,,,170,6,,,,1,0.7439423333853483,C,True,1,,,,,
,,n-back,,,,171,6,,,,0,None,X,True,None,,,,,
,,n-back,,,,172,6,,,,1,0.5590800415957347,C,True,1,,,,,
,,n-back,,,,173,6,,,,0,None,X,True,None,,,,,
,,n-back,,,,174,6,,,,1,None,N,False,None,,,,,
,,n-back,,,,175,6,,,,1,None,V,False,None,,,,,
,,n-back,,,,176,6,,,,0,0.5136100832605734,Z,False,1,,,,,
,,n-back,,,,177,6,,,,1,None,B,False,None,,,,,
,,n-back,,,,178,6,,,,1,None,X,False,None,,,,,
,,n-back,,,,179,6,,,,1,None,Z,False,None,,,,,
,,n-back,,,,180,6,,,,1,None,Z,False,None,,,,,
,,choice,fixation,149.16884187492542,149.9207720833365,41,6,,,,,,,,,Solid,,,,
,,choice,option,149.92726370831951,150.95016070827842,41,6,,,,,,,,,Solid,,,,
,,choice,choice,150.9502989583416,158.5206856667064,41,6,,,2,0,6.562879375065677,,,,Solid,,,,
,,choice,fixation,158.52079779165797,159.2750286667142,42,6,,,,,,,,,Land,,,,
,,choice,option,159.28118900000118,160.30575641675387,42,6,,,,,,,,,Land,,,,
,,choice,choice,160.30592116666958,162.28896645829082,42,6,,,1,1,0.9757295832969248,,,,Land,,,,
,,choice,fixation,162.2890979583608,163.79261316673364,43,6,,,,,,,,,Sea,,,,
,,choice,option,163.7988537499914,164.8235822917195,43,6,,,,,,,,,Sea,,,,
,,choice,choice,164.8236902083736,166.41870854166336,43,6,,,2,1,0.5874659999972209,,,,Sea,,,,
,,choice,fixation,166.41882037499454,167.42203704174608,44,6,,,,,,,,,Pattern,,,,
,,choice,option,167.42804058338515,168.45222012500744,44,6,,,,,,,,,Pattern,,,,
,,choice,choice,168.452345458325,169.68139712500852,44,6,,,1,0,0.2218297499930486,,,,Pattern,,,,
,,choice,fixation,169.68152458337136,171.1847792917397,45,6,,,,,,,,,Object,,,,
,,choice,option,171.1916701250011,172.2154059583554,45,6,,,,,,,,,Object,,,,
,,choice,choice,172.2154991249554,173.92856991675217,45,6,,,1,0,0.7055870415642858,,,,Object,,,,
,,choice,fixation,173.92867649998516,175.43202991667204,46,6,,,,,,,,,Animal,,,,
,,choice,option,175.43839783337899,176.46540716674645,46,6,,,,,,,,,Animal,,,,
,,choice,choice,176.46551679167897,183.64251587493345,46,6,,,1,1,6.167869166587479,,,,Animal,,,,
,,choice,fixation,183.64272174995858,184.89754637493752,47,6,,,,,,,,,Small,,,,
,,choice,option,184.90344470832497,185.9281317499699,47,6,,,,,,,,,Small,,,,
,,choice,choice,185.92823949991725,188.24089295836166,47,6,,,1,1,1.3051007081521675,,,,Small,,,,
,,choice,fixation,188.2409978749929,189.2443452917505,48,6,,,,,,,,,Large,,,,
,,choice,option,189.2499785417458,190.27461645833682,48,6,,,,,,,,,Large,,,,
,,choice,choice,190.27479241671972,196.92162983329035,48,6,,,1,0,5.639742208411917,,,,Large,,,,
,,memory,free_recall,209.79809095838573,230.36481437494513,30,6,,,,,,,,,,,,,
,,memory,value_recall,235.3761984583689,238.33330191671848,31,6,Object_Sea_Solid_Small,,,,2.9521758331684396,,,,,-8,,,
,,memory,value_recall,240.1246375417104,241.21987812500447,32,6,Animal_Land_Solid_Small,,,,1.0915762500371784,,,,,7,,,
,,memory,value_recall,243.2602699167328,247.403911374975,33,6,Animal_Land_Solid_Large,,,,4.138501666719094,,,,,6,,,
,,memory,value_recall,248.94242837501224,250.2370173749514,34,6,Object_Sea_Pattern_Small,,,,1.291155208251439,,,,,6,,,
,,memory,value_recall,251.77668470831122,255.2997047083918,35,6,Object_Sea_Pattern_Large,,,,3.517716083326377,,,,,1,,,
,,memory,value_recall,256.83970316674095,259.05180391669273,36,6,Animal_Land_Pattern_Large,,,,2.208453833241947,,,,,-9,,,
,,memory,spatial_recall,262.3688495833194,264.602417916758,36,6,Animal_Land_Solid_Large,,,1,2.2301654582843184,,,,,,"[0, -380]","[0, -380]",
,,memory,spatial_recall,265.9297958333045,268.7860214583343,36,6,Animal_Land_Solid_Small,,,1,2.8526575416326523,,,,,,"[329, 189]","[329, 189]",
,,memory,spatial_recall,270.85845012497157,273.82064479170367,36,6,Object_Sea_Solid_Small,,,1,2.9562537499004975,,,,,,"[-329, -190]","[-329, -190]",
