subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H119,6,0.14285714285714285,0.2857142857142857,0.14285714285714285,human,take
H119,7,0.42857142857142855,0.42857142857142855,0.0,human,take
H119,8,0.4,0.4,0.0,human,take
H119,9,0.25,0.25,0.0,human,take
H119,10,0.75,0.75,0.0,human,take
H119,11,0.0,0.25,0.25,human,take
H119,12,0.5,0.5,0.0,human,take
H119,13,1.0,1.0,0.0,human,take
H120,1,0.13793103448275862,0.27586206896551724,0.13793103448275862,human,take
H120,2,0.12,0.32,0.2,human,take
H120,3,0.09090909090909091,0.3181818181818182,0.22727272727272727,human,take
H120,4,0.0625,0.25,0.1875,human,take
H120,5,0.33333333333333337,0.5555555555555556,0.2222222222222222,human,take
H120,6,-0.16666666666666666,0.0,0.16666666666666666,human,take
H120,7,0.5,0.5,0.0,human,take
H120,8,1.0,1.0,0.0,human,take
H120,9,-0.3333333333333333,0.0,0.3333333333333333,human,take
H120,10,0.0,0.0,0.0,human,take
H120,11,-0.5,0.0,0.5,human,take
H120,12,0.5,0.5,0.0,human,take
H120,13,0.0,0.5,0.5,human,take
H120,14,-1.0,0.0,1.0,human,take
H120,15,0.0,0.0,0.0,human,take
H120,16,0.0,0.0,0.0,human,take
H120,17,0.0,0.0,0.0,human,take
H120,18,0.0,0.0,0.0,human,take
H120,19,1.0,1.0,0.0,human,take
H120,20,-1.0,0.0,1.0,human,take
H120,21,1.0,1.0,0.0,human,take
H120,22,0.0,0.0,0.0,human,take
H120,23,0.0,0.0,0.0,human,take
H120,24,0.0,0.0,0.0,human,take
H122,1,-0.14285714285714288,0.17857142857142858,0.32142857142857145,human,take
H122,2,-0.041666666666666685,0.25,0.2916666666666667,human,take
H122,3,-0.04999999999999999,0.3,0.35,human,take
H122,4,0.0,0.2857142857142857,0.2857142857142857,human,take
H122,5,0.0,0.2222222222222222,0.2222222222222222,human,take
H122,6,-0.42857142857142855,0.14285714285714285,0.5714285714285714,human,take
H122,7,0.16666666666666669,0.5,0.3333333333333333,human,take
H122,8,0.39999999999999997,0.6,0.2,human,take
H122,9,0.39999999999999997,0.6,0.2,human,take
H122,10,0.0,0.25,0.25,human,take
H122,11,0.3333333333333333,0.3333333333333333,0.0,human,take
H123,1,0.2222222222222222,0.4444444444444444,0.2222222222222222,human,take
H123,2,0.2222222222222222,0.2962962962962963,0.07407407407407407,human,take
H123,3,-0.037037037037037035,0.25925925925925924,0.2962962962962963,human,take
H123,4,0.15999999999999998,0.36,0.2,human,take
H123,5,0.2,0.4,0.2,human,take
H123,6,-0.043478260869565216,0.21739130434782608,0.2608695652173913,human,take
H123,7,0.05263157894736842,0.3157894736842105,0.2631578947368421,human,take
H123,8,0.07142857142857142,0.2857142857142857,0.21428571428571427,human,take
H123,9,0.3,0.5,0.2,human,take
H123,10,-0.4444444444444445,0.1111111111111111,0.5555555555555556,human,take
H123,11,0.7142857142857143,0.7142857142857143,0.0,human,take
H123,12,0.0,0.3333333333333333,0.3333333333333333,human,take
H123,13,0.0,0.5,0.5,human,take
H123,14,0.0,0.5,0.5,human,take
H123,15,0.5,0.5,0.0,human,take
H123,16,0.0,0.5,0.5,human,take
H123,17,1.0,1.0,0.0,human,take
H123,18,-1.0,0.0,1.0,human,take
H123,19,0.0,0.0,0.0,human,take
H123,20,1.0,1.0,0.0,human,take
H124,1,0.1379310344827586,0.3793103448275862,0.2413793103448276,human,take
H124,2,0.0,0.2916666666666667,0.2916666666666667,human,take
H124,3,0.04545454545454544,0.2727272727272727,0.22727272727272727,human,take
H124,4,0.42105263157894735,0.5263157894736842,0.10526315789473684,human,take
H124,5,0.0625,0.1875,0.125,human,take
H124,6,0.23076923076923078,0.38461538461538464,0.15384615384615385,human,take
H124,7,0.6363636363636364,0.6363636363636364,0.0,human,take
H124,8,-0.125,0.25,0.375,human,take
H124,9,-0.5,0.0,0.5,human,take
H124,10,0.0,0.25,0.25,human,take
H124,11,0.0,0.0,0.0,human,take
H124,12,0.0,0.0,0.0,human,take
H125,1,0.10344827586206895,0.4482758620689655,0.3448275862068966,human,take
H125,2,0.14814814814814814,0.2962962962962963,0.14814814814814814,human,take
H125,3,-0.04166666666666663,0.2916666666666667,0.3333333333333333,human,take
H125,4,-0.12499999999999997,0.20833333333333334,0.3333333333333333,human,take
H125,5,0.14285714285714285,0.38095238095238093,0.23809523809523808,human,take
H125,6,-0.15,0.15,0.3,human,take
H125,7,-0.25000000000000006,0.3,0.55,human,take
H125,8,-0.10526315789473684,0.21052631578947367,0.3157894736842105,human,take
H125,9,-0.2,0.26666666666666666,0.4666666666666667,human,take
H125,10,0.0,0.26666666666666666,0.26666666666666666,human,take
H125,11,0.0,0.26666666666666666,0.26666666666666666,human,take
H125,12,-0.14285714285714285,0.2857142857142857,0.42857142857142855,human,take
